Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;-0.1534212;-0.5552032;0.7948371;0;0;0
Cube 2 G;0.4505788;-0.4950032;0.7168372;0;0;0
Cube 3 G;0.009778798;-0.3344032;0.5508372;0;0;0
Cube 4 G;0.3249789;-0.04920322;0.3892372;0;0;0
Cube 1 P;-0.2724212;-0.5012032;0.7948371;0;0;0
Cube 2 P;0.4592788;-0.4633032;0.5867372;0;270;0
Cube 3 P;0.01467881;-0.2372032;0.5587372;0;0;0
Cube 4 P;0.3329788;0.05879682;0.3852372;0;270;0
World;0.2665788;-0.9032032;0.7518371;0;0;0
Cube 1 G;-0.1410635;-0.2365811;1.506014;0;0;0
Cube 2 G;0.4629365;-0.1763811;1.428014;0;0;0
Cube 3 G;0.02213654;-0.01578116;1.262014;0;0;0
Cube 4 G;0.3373366;0.2694188;1.100414;0;0;0
Cube 1 P;-0.2600635;-0.1825811;1.506014;0;0;0
Cube 2 P;0.4716365;-0.1446811;1.297914;0;270;0
Cube 3 P;0.02703655;0.08141887;1.269914;0;0;0
Cube 4 P;0.3453366;0.3774189;1.096414;0;270;0
World;0.2789365;-0.5845811;1.463014;0;0;0
Cube 1 G;-0.133426;-0.2380722;1.500331;0;0;0
Cube 2 G;0.470574;-0.1778722;1.422331;0;0;0
Cube 3 G;0.02977395;-0.01727223;1.256331;0;0;0
Cube 4 G;0.344974;0.2679278;1.094731;0;0;0
Cube 1 P;-0.2524261;-0.1840722;1.500331;0;0;0
Cube 2 P;0.4792739;-0.1461722;1.292231;0;270;0
Cube 3 P;0.03467396;0.0799278;1.264231;0;0;0
Cube 4 P;0.352974;0.3759278;1.090731;0;270;0
World;0.2865739;-0.5860722;1.457331;0;0;0
Cube 1 G;-0.3396712;-0.5529237;1.476398;0;0;0
Cube 2 G;0.2643288;-0.4927237;1.398398;0;0;0
Cube 3 G;-0.1764712;-0.3321237;1.232398;0;0;0
Cube 4 G;0.1387289;-0.0469237;1.070798;0;0;0
Cube 1 P;-0.4586712;-0.4989237;1.476398;0;0;0
Cube 2 P;0.2730288;-0.4610237;1.268298;0;270;0
Cube 3 P;-0.1715712;-0.2349237;1.240298;0;0;0
Cube 4 P;0.1467289;0.06107634;1.066798;0;270;0
World;0.08032882;-0.9009237;1.433398;0;0;0
Cube 1 G;-0.2489544;-0.5883696;0.7896572;0;0;0
Cube 2 G;0.3550456;-0.5281696;0.7116573;0;0;0
Cube 3 G;-0.08575436;-0.3675696;0.5456573;0;0;0
Cube 4 G;0.2294457;-0.08236963;0.3840573;0;0;0
Cube 1 P;-0.3679544;-0.5343696;0.7896572;0;0;0
Cube 2 P;0.3637456;-0.4964696;0.5815573;0;270;0
Cube 3 P;-0.08085436;-0.2703696;0.5535573;0;0;0
Cube 4 P;0.2374457;0.02563041;0.3800573;0;270;0
World;0.1710456;-0.9363696;0.7466573;0;0;0
Cube 1 G;-0.2138272;-0.2175987;1.329428;0;0;0
Cube 2 G;0.3901727;-0.1573987;1.251428;0;0;0
Cube 3 G;-0.05062725;0.003201246;1.085428;0;0;0
Cube 4 G;0.2645728;0.2884012;0.9238282;0;0;0
Cube 1 P;-0.3328273;-0.1635987;1.329428;0;0;0
Cube 2 P;0.3988727;-0.1256987;1.121328;0;270;0
