Participant;Practice;Block;Trial;Condition;Time;Index;CubePosRX;CubePosRY;CubePosRZ;CubeOrRX;CubeOrRY;CubeOrRZ;CubePosVX;CubePosVY;CubePosVZ;CubeOrVX;CubeOrVY;CubeOrVZ;Score
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,53;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,53;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,64;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,53;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,53;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,64;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,56;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,56;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,56;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:16;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,45;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,56;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,56;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,53;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,41;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,49;0
0;true;0;0;I;18:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;9,68;0
